old_config_path,source_file,source_line,reference_type,historical_reference,updated,new_config_path,remaining_reference_allowed,notes
configs/smoke/train_multidag_cl_smoke.yaml,docs/baselines/multidag_cl_encoder_audit_notes.md,24,historical_doc,YES,NO,configs/multidag_cl/unified/synthetic/causal_context/synthetic/smoke.yaml,YES,Frozen historical command retained.
configs/smoke/train_multidag_cl_smoke.yaml,docs/baselines/multidag_cl_encoder_audit_notes.md,160,historical_doc,YES,NO,configs/multidag_cl/unified/synthetic/causal_context/synthetic/smoke.yaml,YES,Frozen historical command retained.
configs/smoke/train_multidag_cl_smoke.yaml,docs/baselines/multidag_cl_encoder_diff_audit_notes.md,10,historical_doc,YES,NO,configs/multidag_cl/unified/synthetic/causal_context/synthetic/smoke.yaml,YES,Frozen historical command retained.
configs/smoke/train_mmgcn_smoke.yaml,docs/baselines/multidag_cl_encoder_diff_audit_notes.md,18,historical_doc,YES,NO,configs/mmgcn/unified/synthetic/full_context/synthetic/smoke.yaml,YES,Frozen historical command retained.
configs/smoke/train_multidag_cl_smoke.yaml,docs/baselines/multidag_cl_encoder_diff_audit_notes.md,72,historical_doc,YES,NO,configs/multidag_cl/unified/synthetic/causal_context/synthetic/smoke.yaml,YES,Frozen historical command retained.
configs/smoke/train_multidag_cl_smoke.yaml,docs/baselines/multidag_cl_encoder_diff_audit_notes.md,77,historical_doc,YES,NO,configs/multidag_cl/unified/synthetic/causal_context/synthetic/smoke.yaml,YES,Frozen historical command retained.
configs/smoke/train_mmgcn_smoke.yaml,docs/baselines/multidag_cl_encoder_diff_audit_notes.md,85,historical_doc,YES,NO,configs/mmgcn/unified/synthetic/full_context/synthetic/smoke.yaml,YES,Frozen historical command retained.
configs/smoke/train_multidag_cl_smoke.yaml,docs/baselines/multidag_cl_encoder_diff_audit_notes.md,125,historical_doc,YES,NO,configs/multidag_cl/unified/synthetic/causal_context/synthetic/smoke.yaml,YES,Frozen historical command retained.
configs/smoke/train_multidag_cl_smoke.yaml,docs/baselines/multidag_cl_smoke_training_notes.md,13,historical_doc,YES,NO,configs/multidag_cl/unified/synthetic/causal_context/synthetic/smoke.yaml,YES,Frozen historical command retained.
configs/smoke/train_multidag_cl_smoke.yaml,docs/baselines/multidag_cl_smoke_training_notes.md,55,historical_doc,YES,NO,configs/multidag_cl/unified/synthetic/causal_context/synthetic/smoke.yaml,YES,Frozen historical command retained.
configs/smoke/train_causal_dialoguegcn_iemocap_real_2epoch.yaml,docs/baselines/new_causal_baselines_remote_protocol.md,95,active_doc,NO,YES,configs/dialoguegcn/unified/iemocap/causal_context/legacy_mmgcn_features/smoke_real_2epoch.yaml,NO,Active reference updated to the Batch 1 canonical path.
configs/smoke/original_repro/mmgcn_legacy.yaml,docs/baselines/original_repro/README.md,54,active_doc,NO,YES,configs/mmgcn/paper_aligned/iemocap/full_context/legacy_mmgcn_features/smoke.yaml,NO,Active reference updated to the Batch 1 canonical path.
configs/smoke/train_mmgcn_smoke.yaml,docs/baselines/sdt_isolated_smoke_review.md,46,historical_doc,YES,NO,configs/mmgcn/unified/synthetic/full_context/synthetic/smoke.yaml,YES,Frozen historical command retained.
configs/smoke/train_mmgcn_smoke.yaml,docs/codex_workflow.md,54,active_doc,NO,YES,configs/mmgcn/unified/synthetic/full_context/synthetic/smoke.yaml,NO,Active reference updated to the Batch 1 canonical path.
configs/train_simple_mlp_m3ed.yaml,docs/project_map.md,83,active_doc,NO,YES,configs/simple_mlp/unified/m3ed/full_context/m3ed_features/development.yaml,NO,Active reference updated to the Batch 1 canonical path.
configs/smoke/train_mmgcn_smoke.yaml,docs/project_map.md,86,active_doc,NO,YES,configs/mmgcn/unified/synthetic/full_context/synthetic/smoke.yaml,NO,Active reference updated to the Batch 1 canonical path.
configs/smoke/train_mmgcn_smoke.yaml,docs/project_map.md,158,active_doc,NO,YES,configs/mmgcn/unified/synthetic/full_context/synthetic/smoke.yaml,NO,Active reference updated to the Batch 1 canonical path.
configs/smoke/train_mmgcn_smoke.yaml,docs/smoke_test_protocol.md,39,active_doc,NO,YES,configs/mmgcn/unified/synthetic/full_context/synthetic/smoke.yaml,NO,Active reference updated to the Batch 1 canonical path.
configs/smoke/train_mmgcn_smoke.yaml,docs/smoke_test_protocol.md,87,active_doc,NO,YES,configs/mmgcn/unified/synthetic/full_context/synthetic/smoke.yaml,NO,Active reference updated to the Batch 1 canonical path.
configs/smoke/train_mmgcn_smoke.yaml,docs/smoke_test_protocol.md,135,active_doc,NO,YES,configs/mmgcn/unified/synthetic/full_context/synthetic/smoke.yaml,NO,Active reference updated to the Batch 1 canonical path.
configs/smoke/train_multidag_cl_smoke.yaml,scripts/models/multidag_cl/unified/smoke.py,49,argparse_default,NO,YES,configs/multidag_cl/unified/synthetic/causal_context/synthetic/smoke.yaml,NO,Active reference updated to the Batch 1 canonical path.
configs/train_simple_mlp_m3ed.yaml,scripts/models/simple_mlp/train.py,64,argparse_default,NO,YES,configs/simple_mlp/unified/m3ed/full_context/m3ed_features/development.yaml,NO,Active reference updated to the Batch 1 canonical path.
configs/data/iemocap_feature_sets.yaml,tests/test_iemocap_clean_roberta_v1.py,496,test_fixture,NO,YES,configs/_shared/data/iemocap/feature_sets.yaml,NO,Active reference updated to the Batch 1 canonical path.
configs/data/iemocap_feature_sets.yaml,tests/test_iemocap_clean_roberta_v1.py,587,test_fixture,NO,YES,configs/_shared/data/iemocap/feature_sets.yaml,NO,Active reference updated to the Batch 1 canonical path.
configs/smoke/train_causal_dialoguegcn_end_to_end.yaml,tests/test_new_causal_baseline_checkpoint_reload.py,25,test_fixture,NO,YES,configs/dialoguegcn/unified/synthetic/causal_context/synthetic/smoke_end_to_end.yaml,NO,Active reference updated to the Batch 1 canonical path.
configs/smoke/train_causal_gsmcc_end_to_end.yaml,tests/test_new_causal_baseline_training_smoke.py,17,test_fixture,NO,YES,configs/gsmcc/project_variant/synthetic/causal_context/synthetic/smoke_end_to_end.yaml,NO,Active reference updated to the Batch 1 canonical path.
configs/smoke/train_causal_dialoguegcn_end_to_end.yaml,tests/test_new_causal_baseline_training_smoke.py,18,test_fixture,NO,YES,configs/dialoguegcn/unified/synthetic/causal_context/synthetic/smoke_end_to_end.yaml,NO,Active reference updated to the Batch 1 canonical path.
configs/data/iemocap_feature_sets.yaml,scripts/dev/validate_config_tree.py,57,dynamic_constructed_path,NO,YES,configs/_shared/data/iemocap/feature_sets.yaml,NO,Constructed registry path was not an exact Phase 4A graph edge; validator now uses the canonical registry path.
configs/smoke/original_repro/,scripts/dev/validate_config_tree.py,60,dynamic_pattern,NO,YES,configs/dialoguegcn/paper_aligned/iemocap/full_context/clean_roberta_features/smoke.yaml|configs/dialoguegcn/paper_aligned/iemocap/full_context/legacy_mmgcn_features/smoke.yaml|configs/mmgcn/paper_aligned/iemocap/full_context/clean_roberta_features/smoke.yaml|configs/mmgcn/paper_aligned/iemocap/full_context/legacy_mmgcn_features/smoke.yaml|configs/multidag_cl/paper_aligned/iemocap/full_context/clean_roberta_features/smoke.yaml|configs/multidag_cl/paper_aligned/iemocap/full_context/legacy_mmgcn_features/smoke.yaml,YES,Validator uses explicit canonical paths for six moved configs; the old prefix remains only for unmigrated GS-MCC Batch 5/7 smoke configs.
configs/smoke/original_repro/,scripts/analysis/paper_aligned/analyze_original_merc_results.py,45,dynamic_pattern,NO,YES,configs/dialoguegcn/paper_aligned/iemocap/full_context/clean_roberta_features/smoke.yaml|configs/dialoguegcn/paper_aligned/iemocap/full_context/legacy_mmgcn_features/smoke.yaml|configs/mmgcn/paper_aligned/iemocap/full_context/clean_roberta_features/smoke.yaml|configs/mmgcn/paper_aligned/iemocap/full_context/legacy_mmgcn_features/smoke.yaml|configs/multidag_cl/paper_aligned/iemocap/full_context/clean_roberta_features/smoke.yaml|configs/multidag_cl/paper_aligned/iemocap/full_context/legacy_mmgcn_features/smoke.yaml,YES,Analyzer recognizes all six canonical smoke paths and retains the old prefix only for unmigrated GS-MCC smoke configs.
configs/smoke/original_repro/,tests/original_repro/test_model_contracts.py,161,dynamic_pattern,NO,YES,configs/mmgcn/paper_aligned/iemocap/full_context/*/smoke.yaml,NO,MMGCN smoke glob now targets the canonical model tree.
configs/smoke/original_repro/,tests/original_repro/test_analysis_protocol.py,619,dynamic_pattern,NO,NO,,YES,"This fixture intentionally names unmigrated GS-MCC smoke configs, not any Batch 1 old YAML path."
configs/data/iemocap_feature_sets.yaml,utils/iemocap_features.py,15,dynamic_constructed_path,NO,YES,configs/_shared/data/iemocap/feature_sets.yaml,NO,Phase 4A reference graph gap found by the Batch 1 strict audit; the active default registry path now uses the canonical location.
