source_file,source_line,reference_type,referenced_config,reference_exists,is_dynamic,is_historical_doc,requires_update_on_move,notes
configs/analysis/multidag_cl/iemocap/loss_stability/loss_stability_w5_compare.yaml,15,yaml_reference,configs/pipeline/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr5e4_plateau_valloss.yaml,YES,NO,NO,YES,config_path: configs/pipeline/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr5e4_plateau_valloss.yaml
configs/analysis/multidag_cl/iemocap/loss_stability/loss_stability_w5_compare.yaml,18,yaml_reference,configs/pipeline/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr3e4_cosine.yaml,YES,NO,NO,YES,config_path: configs/pipeline/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr3e4_cosine.yaml
configs/analysis/multidag_cl/iemocap/loss_stability/loss_stability_w5_compare.yaml,21,yaml_reference,configs/pipeline/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr3e4_label_smoothing005.yaml,YES,NO,NO,YES,config_path: configs/pipeline/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr3e4_label_smoothing005.yaml
configs/analysis/multidag_cl/iemocap/loss_stability/loss_stability_w5_compare.yaml,24,yaml_reference,configs/pipeline/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr3e4_earlystop_valloss.yaml,YES,NO,NO,YES,config_path: configs/pipeline/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr3e4_earlystop_valloss.yaml
configs/baselines/mmgcn/iemocap/clean_roberta_v1/val_ses01.yaml,65,yaml_reference,configs/baselines/mmgcn/iemocap/causal_benchmark/val_ses01.yaml,YES,NO,NO,YES,source_config: configs/baselines/mmgcn/iemocap/causal_benchmark/val_ses01.yaml
configs/baselines/mmgcn/iemocap/clean_roberta_v1/val_ses02.yaml,65,yaml_reference,configs/baselines/mmgcn/iemocap/causal_benchmark/val_ses02.yaml,YES,NO,NO,YES,source_config: configs/baselines/mmgcn/iemocap/causal_benchmark/val_ses02.yaml
configs/baselines/mmgcn/iemocap/clean_roberta_v1/val_ses03.yaml,65,yaml_reference,configs/baselines/mmgcn/iemocap/causal_benchmark/val_ses03.yaml,YES,NO,NO,YES,source_config: configs/baselines/mmgcn/iemocap/causal_benchmark/val_ses03.yaml
configs/baselines/mmgcn/iemocap/clean_roberta_v1/val_ses04.yaml,65,yaml_reference,configs/baselines/mmgcn/iemocap/causal_benchmark/val_ses04.yaml,YES,NO,NO,YES,source_config: configs/baselines/mmgcn/iemocap/causal_benchmark/val_ses04.yaml
configs/baselines/multidag_cl/iemocap/clean_roberta_v1/val_ses01.yaml,66,yaml_reference,configs/baselines/multidag_cl/iemocap/causal_benchmark/val_ses01.yaml,YES,NO,NO,YES,source_config: configs/baselines/multidag_cl/iemocap/causal_benchmark/val_ses01.yaml
configs/baselines/multidag_cl/iemocap/clean_roberta_v1/val_ses02.yaml,66,yaml_reference,configs/baselines/multidag_cl/iemocap/causal_benchmark/val_ses02.yaml,YES,NO,NO,YES,source_config: configs/baselines/multidag_cl/iemocap/causal_benchmark/val_ses02.yaml
configs/baselines/multidag_cl/iemocap/clean_roberta_v1/val_ses03.yaml,66,yaml_reference,configs/baselines/multidag_cl/iemocap/causal_benchmark/val_ses03.yaml,YES,NO,NO,YES,source_config: configs/baselines/multidag_cl/iemocap/causal_benchmark/val_ses03.yaml
configs/baselines/multidag_cl/iemocap/clean_roberta_v1/val_ses04.yaml,66,yaml_reference,configs/baselines/multidag_cl/iemocap/causal_benchmark/val_ses04.yaml,YES,NO,NO,YES,source_config: configs/baselines/multidag_cl/iemocap/causal_benchmark/val_ses04.yaml
configs/experiments/iemocap_clean_roberta_v1_8run.yaml,32,yaml_reference,configs/pipeline/mmgcn/iemocap/causal_benchmark/val_sesXX.yaml,DYNAMIC,YES,NO,NO,mmgcn: configs/pipeline/mmgcn/iemocap/causal_benchmark/val_sesXX.yaml
configs/experiments/iemocap_clean_roberta_v1_8run.yaml,33,yaml_reference,configs/pipeline/multidag_cl/iemocap/causal_benchmark/val_sesXX.yaml,DYNAMIC,YES,NO,NO,multidag_cl: configs/pipeline/multidag_cl/iemocap/causal_benchmark/val_sesXX.yaml
configs/experiments/iemocap_clean_roberta_v1_8run.yaml,49,yaml_reference,configs/pipeline/mmgcn/iemocap/clean_roberta_v1/val_ses01.yaml,YES,NO,NO,YES,config_path: configs/pipeline/mmgcn/iemocap/clean_roberta_v1/val_ses01.yaml
configs/experiments/iemocap_clean_roberta_v1_8run.yaml,50,yaml_reference,configs/baselines/mmgcn/iemocap/clean_roberta_v1/val_ses01.yaml,YES,NO,NO,YES,train_config_path: configs/baselines/mmgcn/iemocap/clean_roberta_v1/val_ses01.yaml
configs/experiments/iemocap_clean_roberta_v1_8run.yaml,62,yaml_reference,configs/pipeline/mmgcn/iemocap/clean_roberta_v1/val_ses02.yaml,YES,NO,NO,YES,config_path: configs/pipeline/mmgcn/iemocap/clean_roberta_v1/val_ses02.yaml
configs/experiments/iemocap_clean_roberta_v1_8run.yaml,63,yaml_reference,configs/baselines/mmgcn/iemocap/clean_roberta_v1/val_ses02.yaml,YES,NO,NO,YES,train_config_path: configs/baselines/mmgcn/iemocap/clean_roberta_v1/val_ses02.yaml
configs/experiments/iemocap_clean_roberta_v1_8run.yaml,75,yaml_reference,configs/pipeline/mmgcn/iemocap/clean_roberta_v1/val_ses03.yaml,YES,NO,NO,YES,config_path: configs/pipeline/mmgcn/iemocap/clean_roberta_v1/val_ses03.yaml
configs/experiments/iemocap_clean_roberta_v1_8run.yaml,76,yaml_reference,configs/baselines/mmgcn/iemocap/clean_roberta_v1/val_ses03.yaml,YES,NO,NO,YES,train_config_path: configs/baselines/mmgcn/iemocap/clean_roberta_v1/val_ses03.yaml
configs/experiments/iemocap_clean_roberta_v1_8run.yaml,88,yaml_reference,configs/pipeline/mmgcn/iemocap/clean_roberta_v1/val_ses04.yaml,YES,NO,NO,YES,config_path: configs/pipeline/mmgcn/iemocap/clean_roberta_v1/val_ses04.yaml
configs/experiments/iemocap_clean_roberta_v1_8run.yaml,89,yaml_reference,configs/baselines/mmgcn/iemocap/clean_roberta_v1/val_ses04.yaml,YES,NO,NO,YES,train_config_path: configs/baselines/mmgcn/iemocap/clean_roberta_v1/val_ses04.yaml
configs/experiments/iemocap_clean_roberta_v1_8run.yaml,101,yaml_reference,configs/pipeline/multidag_cl/iemocap/clean_roberta_v1/val_ses01.yaml,YES,NO,NO,YES,config_path: configs/pipeline/multidag_cl/iemocap/clean_roberta_v1/val_ses01.yaml
configs/experiments/iemocap_clean_roberta_v1_8run.yaml,102,yaml_reference,configs/baselines/multidag_cl/iemocap/clean_roberta_v1/val_ses01.yaml,YES,NO,NO,YES,train_config_path: configs/baselines/multidag_cl/iemocap/clean_roberta_v1/val_ses01.yaml
configs/experiments/iemocap_clean_roberta_v1_8run.yaml,114,yaml_reference,configs/pipeline/multidag_cl/iemocap/clean_roberta_v1/val_ses02.yaml,YES,NO,NO,YES,config_path: configs/pipeline/multidag_cl/iemocap/clean_roberta_v1/val_ses02.yaml
configs/experiments/iemocap_clean_roberta_v1_8run.yaml,115,yaml_reference,configs/baselines/multidag_cl/iemocap/clean_roberta_v1/val_ses02.yaml,YES,NO,NO,YES,train_config_path: configs/baselines/multidag_cl/iemocap/clean_roberta_v1/val_ses02.yaml
configs/experiments/iemocap_clean_roberta_v1_8run.yaml,127,yaml_reference,configs/pipeline/multidag_cl/iemocap/clean_roberta_v1/val_ses03.yaml,YES,NO,NO,YES,config_path: configs/pipeline/multidag_cl/iemocap/clean_roberta_v1/val_ses03.yaml
configs/experiments/iemocap_clean_roberta_v1_8run.yaml,128,yaml_reference,configs/baselines/multidag_cl/iemocap/clean_roberta_v1/val_ses03.yaml,YES,NO,NO,YES,train_config_path: configs/baselines/multidag_cl/iemocap/clean_roberta_v1/val_ses03.yaml
configs/experiments/iemocap_clean_roberta_v1_8run.yaml,140,yaml_reference,configs/pipeline/multidag_cl/iemocap/clean_roberta_v1/val_ses04.yaml,YES,NO,NO,YES,config_path: configs/pipeline/multidag_cl/iemocap/clean_roberta_v1/val_ses04.yaml
configs/experiments/iemocap_clean_roberta_v1_8run.yaml,141,yaml_reference,configs/baselines/multidag_cl/iemocap/clean_roberta_v1/val_ses04.yaml,YES,NO,NO,YES,train_config_path: configs/baselines/multidag_cl/iemocap/clean_roberta_v1/val_ses04.yaml
configs/experiments/original_merc/pipeline_manifest.yaml,23,yaml_reference,configs/smoke/original_repro/mmgcn_legacy.yaml,YES,NO,NO,YES,- {config: configs/smoke/original_repro/mmgcn_legacy.yaml}
configs/experiments/original_merc/pipeline_manifest.yaml,24,yaml_reference,configs/smoke/original_repro/mmgcn_clean.yaml,YES,NO,NO,YES,- {config: configs/smoke/original_repro/mmgcn_clean.yaml}
configs/experiments/original_merc/pipeline_manifest.yaml,25,yaml_reference,configs/smoke/original_repro/multidag_cl_legacy.yaml,YES,NO,NO,YES,- {config: configs/smoke/original_repro/multidag_cl_legacy.yaml}
configs/experiments/original_merc/pipeline_manifest.yaml,26,yaml_reference,configs/smoke/original_repro/multidag_cl_clean.yaml,YES,NO,NO,YES,- {config: configs/smoke/original_repro/multidag_cl_clean.yaml}
configs/experiments/original_merc/pipeline_manifest.yaml,27,yaml_reference,configs/smoke/original_repro/gsmcc_legacy.yaml,YES,NO,NO,YES,- {config: configs/smoke/original_repro/gsmcc_legacy.yaml}
configs/experiments/original_merc/pipeline_manifest.yaml,28,yaml_reference,configs/smoke/original_repro/gsmcc_clean.yaml,YES,NO,NO,YES,- {config: configs/smoke/original_repro/gsmcc_clean.yaml}
configs/experiments/original_merc/pipeline_manifest.yaml,29,yaml_reference,configs/smoke/original_repro/dialoguegcn_legacy.yaml,YES,NO,NO,YES,- {config: configs/smoke/original_repro/dialoguegcn_legacy.yaml}
configs/experiments/original_merc/pipeline_manifest.yaml,30,yaml_reference,configs/smoke/original_repro/dialoguegcn_clean.yaml,YES,NO,NO,YES,- {config: configs/smoke/original_repro/dialoguegcn_clean.yaml}
configs/experiments/original_merc/pipeline_manifest.yaml,32,yaml_reference,configs/experiments/original_merc/screening/mmgcn_legacy.yaml,YES,NO,NO,YES,- {config: configs/experiments/original_merc/screening/mmgcn_legacy.yaml}
configs/experiments/original_merc/pipeline_manifest.yaml,33,yaml_reference,configs/experiments/original_merc/screening/multidag_cl_legacy.yaml,YES,NO,NO,YES,- {config: configs/experiments/original_merc/screening/multidag_cl_legacy.yaml}
configs/experiments/original_merc/pipeline_manifest.yaml,34,yaml_reference,configs/experiments/original_merc/screening/gsmcc_legacy.yaml,YES,NO,NO,YES,- {config: configs/experiments/original_merc/screening/gsmcc_legacy.yaml}
configs/experiments/original_merc/pipeline_manifest.yaml,35,yaml_reference,configs/experiments/original_merc/screening/dialoguegcn_legacy.yaml,YES,NO,NO,YES,- {config: configs/experiments/original_merc/screening/dialoguegcn_legacy.yaml}
configs/experiments/original_merc/pipeline_manifest.yaml,37,yaml_reference,configs/experiments/original_merc/clean_screening/mmgcn_clean.yaml,YES,NO,NO,YES,- {config: configs/experiments/original_merc/clean_screening/mmgcn_clean.yaml}
configs/experiments/original_merc/pipeline_manifest.yaml,38,yaml_reference,configs/experiments/original_merc/clean_screening/multidag_cl_clean.yaml,YES,NO,NO,YES,- {config: configs/experiments/original_merc/clean_screening/multidag_cl_clean.yaml}
configs/experiments/original_merc/pipeline_manifest.yaml,39,yaml_reference,configs/experiments/original_merc/clean_screening/gsmcc_clean.yaml,YES,NO,NO,YES,- {config: configs/experiments/original_merc/clean_screening/gsmcc_clean.yaml}
configs/experiments/original_merc/pipeline_manifest.yaml,40,yaml_reference,configs/experiments/original_merc/clean_screening/dialoguegcn_clean.yaml,YES,NO,NO,YES,- {config: configs/experiments/original_merc/clean_screening/dialoguegcn_clean.yaml}
configs/experiments/original_merc/pipeline_manifest.yaml,42,yaml_reference,configs/experiments/original_merc/legacy_fold_bases/mmgcn_legacy.yaml,YES,NO,NO,YES,"- {config: configs/experiments/original_merc/legacy_fold_bases/mmgcn_legacy.yaml, outer_test_sessions: [Ses01, Ses02, Ses03, Ses04, Ses05]}"
configs/experiments/original_merc/pipeline_manifest.yaml,43,yaml_reference,configs/experiments/original_merc/legacy_fold_bases/multidag_cl_legacy.yaml,YES,NO,NO,YES,"- {config: configs/experiments/original_merc/legacy_fold_bases/multidag_cl_legacy.yaml, outer_test_sessions: [Ses01, Ses02, Ses03, Ses04, Ses05]}"
configs/experiments/original_merc/pipeline_manifest.yaml,44,yaml_reference,configs/experiments/original_merc/legacy_fold_bases/gsmcc_legacy.yaml,YES,NO,NO,YES,"- {config: configs/experiments/original_merc/legacy_fold_bases/gsmcc_legacy.yaml, outer_test_sessions: [Ses01, Ses02, Ses03, Ses04, Ses05]}"
configs/experiments/original_merc/pipeline_manifest.yaml,45,yaml_reference,configs/experiments/original_merc/legacy_fold_bases/dialoguegcn_legacy.yaml,YES,NO,NO,YES,"- {config: configs/experiments/original_merc/legacy_fold_bases/dialoguegcn_legacy.yaml, outer_test_sessions: [Ses01, Ses02, Ses03, Ses04, Ses05]}"
configs/experiments/original_merc/pipeline_manifest.yaml,47,yaml_reference,configs/experiments/original_merc/clean_fold_bases/mmgcn_clean.yaml,YES,NO,NO,YES,"- {config: configs/experiments/original_merc/clean_fold_bases/mmgcn_clean.yaml, outer_test_sessions: [Ses01, Ses02, Ses03, Ses04, Ses05]}"
configs/experiments/original_merc/pipeline_manifest.yaml,48,yaml_reference,configs/experiments/original_merc/clean_fold_bases/multidag_cl_clean.yaml,YES,NO,NO,YES,"- {config: configs/experiments/original_merc/clean_fold_bases/multidag_cl_clean.yaml, outer_test_sessions: [Ses01, Ses02, Ses03, Ses04, Ses05]}"
configs/experiments/original_merc/pipeline_manifest.yaml,49,yaml_reference,configs/experiments/original_merc/clean_fold_bases/gsmcc_clean.yaml,YES,NO,NO,YES,"- {config: configs/experiments/original_merc/clean_fold_bases/gsmcc_clean.yaml, outer_test_sessions: [Ses01, Ses02, Ses03, Ses04, Ses05]}"
configs/experiments/original_merc/pipeline_manifest.yaml,50,yaml_reference,configs/experiments/original_merc/clean_fold_bases/dialoguegcn_clean.yaml,YES,NO,NO,YES,"- {config: configs/experiments/original_merc/clean_fold_bases/dialoguegcn_clean.yaml, outer_test_sessions: [Ses01, Ses02, Ses03, Ses04, Ses05]}"
configs/experiments/original_merc/pipeline_manifest.yaml,67,yaml_reference,configs/experiments/original_merc/clean_fold_bases/mmgcn_clean.yaml,YES,NO,NO,YES,- configs/experiments/original_merc/clean_fold_bases/mmgcn_clean.yaml
configs/experiments/original_merc/pipeline_manifest.yaml,68,yaml_reference,configs/experiments/original_merc/clean_fold_bases/multidag_cl_clean.yaml,YES,NO,NO,YES,- configs/experiments/original_merc/clean_fold_bases/multidag_cl_clean.yaml
configs/experiments/original_merc/pipeline_manifest.yaml,69,yaml_reference,configs/experiments/original_merc/clean_fold_bases/gsmcc_clean.yaml,YES,NO,NO,YES,- configs/experiments/original_merc/clean_fold_bases/gsmcc_clean.yaml
configs/experiments/original_merc/pipeline_manifest.yaml,70,yaml_reference,configs/experiments/original_merc/clean_fold_bases/dialoguegcn_clean.yaml,YES,NO,NO,YES,- configs/experiments/original_merc/clean_fold_bases/dialoguegcn_clean.yaml
configs/modality_ablation/m3ed/mmgcn/train_mmgcn_m3ed_A.yaml,56,yaml_reference,configs/train_mmgcn_m3ed.yaml,YES,NO,NO,YES,base_config: configs/train_mmgcn_m3ed.yaml
configs/modality_ablation/m3ed/mmgcn/train_mmgcn_m3ed_AV.yaml,57,yaml_reference,configs/train_mmgcn_m3ed.yaml,YES,NO,NO,YES,base_config: configs/train_mmgcn_m3ed.yaml
configs/modality_ablation/m3ed/mmgcn/train_mmgcn_m3ed_T.yaml,56,yaml_reference,configs/train_mmgcn_m3ed.yaml,YES,NO,NO,YES,base_config: configs/train_mmgcn_m3ed.yaml
configs/modality_ablation/m3ed/mmgcn/train_mmgcn_m3ed_TA.yaml,57,yaml_reference,configs/train_mmgcn_m3ed.yaml,YES,NO,NO,YES,base_config: configs/train_mmgcn_m3ed.yaml
configs/modality_ablation/m3ed/mmgcn/train_mmgcn_m3ed_TAV.yaml,58,yaml_reference,configs/train_mmgcn_m3ed.yaml,YES,NO,NO,YES,base_config: configs/train_mmgcn_m3ed.yaml
configs/modality_ablation/m3ed/mmgcn/train_mmgcn_m3ed_TV.yaml,57,yaml_reference,configs/train_mmgcn_m3ed.yaml,YES,NO,NO,YES,base_config: configs/train_mmgcn_m3ed.yaml
configs/modality_ablation/m3ed/mmgcn/train_mmgcn_m3ed_V.yaml,56,yaml_reference,configs/train_mmgcn_m3ed.yaml,YES,NO,NO,YES,base_config: configs/train_mmgcn_m3ed.yaml
configs/pipeline/dialoguegcn/iemocap/causal_benchmark/official_prefix.yaml,23,yaml_reference,configs/baselines/dialoguegcn/iemocap/causal_benchmark/official_prefix.yaml,YES,NO,NO,YES,train_config_path: configs/baselines/dialoguegcn/iemocap/causal_benchmark/official_prefix.yaml
configs/pipeline/dialoguegcn/iemocap/causal_benchmark/val_ses01.yaml,23,yaml_reference,configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses01.yaml,YES,NO,NO,YES,train_config_path: configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses01.yaml
configs/pipeline/dialoguegcn/iemocap/causal_benchmark/val_ses02.yaml,23,yaml_reference,configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses02.yaml,YES,NO,NO,YES,train_config_path: configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses02.yaml
configs/pipeline/dialoguegcn/iemocap/causal_benchmark/val_ses03.yaml,23,yaml_reference,configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses03.yaml,YES,NO,NO,YES,train_config_path: configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses03.yaml
configs/pipeline/dialoguegcn/iemocap/causal_benchmark/val_ses04.yaml,23,yaml_reference,configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses04.yaml,YES,NO,NO,YES,train_config_path: configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses04.yaml
configs/pipeline/gsmcc/iemocap/causal_benchmark/official_prefix.yaml,23,yaml_reference,configs/baselines/gsmcc/iemocap/causal_benchmark/official_prefix.yaml,YES,NO,NO,YES,train_config_path: configs/baselines/gsmcc/iemocap/causal_benchmark/official_prefix.yaml
configs/pipeline/gsmcc/iemocap/causal_benchmark/val_ses01.yaml,23,yaml_reference,configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses01.yaml,YES,NO,NO,YES,train_config_path: configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses01.yaml
configs/pipeline/gsmcc/iemocap/causal_benchmark/val_ses02.yaml,23,yaml_reference,configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses02.yaml,YES,NO,NO,YES,train_config_path: configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses02.yaml
configs/pipeline/gsmcc/iemocap/causal_benchmark/val_ses03.yaml,23,yaml_reference,configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses03.yaml,YES,NO,NO,YES,train_config_path: configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses03.yaml
configs/pipeline/gsmcc/iemocap/causal_benchmark/val_ses04.yaml,23,yaml_reference,configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses04.yaml,YES,NO,NO,YES,train_config_path: configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses04.yaml
configs/pipeline/mmgcn/iemocap/causal_benchmark/official_prefix.yaml,23,yaml_reference,configs/baselines/mmgcn/iemocap/causal_benchmark/official_prefix.yaml,YES,NO,NO,YES,train_config_path: configs/baselines/mmgcn/iemocap/causal_benchmark/official_prefix.yaml
configs/pipeline/mmgcn/iemocap/causal_benchmark/val_ses01.yaml,23,yaml_reference,configs/baselines/mmgcn/iemocap/causal_benchmark/val_ses01.yaml,YES,NO,NO,YES,train_config_path: configs/baselines/mmgcn/iemocap/causal_benchmark/val_ses01.yaml
configs/pipeline/mmgcn/iemocap/causal_benchmark/val_ses02.yaml,23,yaml_reference,configs/baselines/mmgcn/iemocap/causal_benchmark/val_ses02.yaml,YES,NO,NO,YES,train_config_path: configs/baselines/mmgcn/iemocap/causal_benchmark/val_ses02.yaml
configs/pipeline/mmgcn/iemocap/causal_benchmark/val_ses03.yaml,23,yaml_reference,configs/baselines/mmgcn/iemocap/causal_benchmark/val_ses03.yaml,YES,NO,NO,YES,train_config_path: configs/baselines/mmgcn/iemocap/causal_benchmark/val_ses03.yaml
configs/pipeline/mmgcn/iemocap/causal_benchmark/val_ses04.yaml,23,yaml_reference,configs/baselines/mmgcn/iemocap/causal_benchmark/val_ses04.yaml,YES,NO,NO,YES,train_config_path: configs/baselines/mmgcn/iemocap/causal_benchmark/val_ses04.yaml
configs/pipeline/mmgcn/iemocap/clean_roberta_v1/val_ses01.yaml,38,yaml_reference,configs/baselines/mmgcn/iemocap/clean_roberta_v1/val_ses01.yaml,YES,NO,NO,YES,train_config_path: configs/baselines/mmgcn/iemocap/clean_roberta_v1/val_ses01.yaml
configs/pipeline/mmgcn/iemocap/clean_roberta_v1/val_ses01.yaml,69,yaml_reference,configs/pipeline/mmgcn/iemocap/causal_benchmark/val_ses01.yaml,YES,NO,NO,YES,source_config: configs/pipeline/mmgcn/iemocap/causal_benchmark/val_ses01.yaml
configs/pipeline/mmgcn/iemocap/clean_roberta_v1/val_ses02.yaml,38,yaml_reference,configs/baselines/mmgcn/iemocap/clean_roberta_v1/val_ses02.yaml,YES,NO,NO,YES,train_config_path: configs/baselines/mmgcn/iemocap/clean_roberta_v1/val_ses02.yaml
configs/pipeline/mmgcn/iemocap/clean_roberta_v1/val_ses02.yaml,69,yaml_reference,configs/pipeline/mmgcn/iemocap/causal_benchmark/val_ses02.yaml,YES,NO,NO,YES,source_config: configs/pipeline/mmgcn/iemocap/causal_benchmark/val_ses02.yaml
configs/pipeline/mmgcn/iemocap/clean_roberta_v1/val_ses03.yaml,38,yaml_reference,configs/baselines/mmgcn/iemocap/clean_roberta_v1/val_ses03.yaml,YES,NO,NO,YES,train_config_path: configs/baselines/mmgcn/iemocap/clean_roberta_v1/val_ses03.yaml
configs/pipeline/mmgcn/iemocap/clean_roberta_v1/val_ses03.yaml,69,yaml_reference,configs/pipeline/mmgcn/iemocap/causal_benchmark/val_ses03.yaml,YES,NO,NO,YES,source_config: configs/pipeline/mmgcn/iemocap/causal_benchmark/val_ses03.yaml
configs/pipeline/mmgcn/iemocap/clean_roberta_v1/val_ses04.yaml,38,yaml_reference,configs/baselines/mmgcn/iemocap/clean_roberta_v1/val_ses04.yaml,YES,NO,NO,YES,train_config_path: configs/baselines/mmgcn/iemocap/clean_roberta_v1/val_ses04.yaml
configs/pipeline/mmgcn/iemocap/clean_roberta_v1/val_ses04.yaml,69,yaml_reference,configs/pipeline/mmgcn/iemocap/causal_benchmark/val_ses04.yaml,YES,NO,NO,YES,source_config: configs/pipeline/mmgcn/iemocap/causal_benchmark/val_ses04.yaml
configs/pipeline/mmgcn_pipeline.yaml,9,yaml_reference,configs/train_mmgcn_iemocap_official.yaml,YES,NO,NO,YES,train_config_path: configs/train_mmgcn_iemocap_official.yaml
configs/pipeline/mmgcn_pipeline.yaml,24,yaml_reference,configs/analysis/multi_run_training_curves.yaml,YES,NO,NO,YES,config_path: configs/analysis/multi_run_training_curves.yaml
configs/pipeline/mmgcn_pipeline.yaml,27,yaml_reference,configs/analysis/multi_run_final_analysis.yaml,YES,NO,NO,YES,config_path: configs/analysis/multi_run_final_analysis.yaml
configs/pipeline/mmgcn_pipeline_analyze.yaml,12,yaml_reference,configs/train_mmgcn_iemocap_official.yaml,YES,NO,NO,YES,train_config_path: configs/train_mmgcn_iemocap_official.yaml
configs/pipeline/mmgcn_pipeline_analyze.yaml,31,yaml_reference,configs/analysis/multi_run_training_curves.yaml,YES,NO,NO,YES,config_path: configs/analysis/multi_run_training_curves.yaml
configs/pipeline/mmgcn_pipeline_analyze.yaml,35,yaml_reference,configs/analysis/multi_run_final_analysis.yaml,YES,NO,NO,YES,config_path: configs/analysis/multi_run_final_analysis.yaml
configs/pipeline/mmgcn_pipeline_m3ed.yaml,9,yaml_reference,configs/train_mmgcn_m3ed.yaml,YES,NO,NO,YES,train_config_path: configs/train_mmgcn_m3ed.yaml
configs/pipeline/mmgcn_pipeline_m3ed.yaml,24,yaml_reference,configs/analysis/multi_run_training_curves.yaml,YES,NO,NO,YES,config_path: configs/analysis/multi_run_training_curves.yaml
configs/pipeline/mmgcn_pipeline_m3ed.yaml,27,yaml_reference,configs/analysis/multi_run_final_analysis.yaml,YES,NO,NO,YES,config_path: configs/analysis/multi_run_final_analysis.yaml
configs/pipeline/multidag_cl/iemocap/causal_benchmark/official_prefix.yaml,23,yaml_reference,configs/baselines/multidag_cl/iemocap/causal_benchmark/official_prefix.yaml,YES,NO,NO,YES,train_config_path: configs/baselines/multidag_cl/iemocap/causal_benchmark/official_prefix.yaml
