record_type,category,path,line_or_lines,legacy_target_or_pattern,files,parsed_files,files_with_legacy_imports,legacy_import_edges,text_references,parse_errors,status
text,documentation_reference,docs/experiments/date_organized_outputs_handoff.md,"130,224",scripts/analyze/,,,,,2,,HISTORICAL_AND_COMPATIBILITY_REFERENCE
text,documentation_reference,docs/experiments/original_merc_handoff.md,"38,69",scripts/analyze/,,,,,2,,HISTORICAL_AND_COMPATIBILITY_REFERENCE
text,documentation_reference,docs/project_map.md,121,scripts/analyze/,,,,,1,,CONTEXT_REFERENCE
text,documentation_reference,docs/refactors/LEGACY_MODEL_IMPORTS_AFTER_MODEL_REFACTOR.csv,"2,3",scripts/analyze/,,,,,2,,HISTORICAL_AUDIT_REFERENCE
text,documentation_reference,docs/refactors/LEGACY_MODEL_IMPORTS_AFTER_MODEL_REFACTOR.md,7,scripts/analyze/,,,,,1,,HISTORICAL_AUDIT_REFERENCE
text,documentation_reference,docs/refactors/LEGACY_MODEL_IMPORTS_AFTER_SCRIPT_PHASE3A.csv,"7,8,46",scripts/analyze/,,,,,3,,HISTORICAL_AUDIT_REFERENCE
text,documentation_reference,docs/refactors/LEGACY_MODEL_IMPORTS_AFTER_SCRIPT_PHASE3A.md,"15,41",scripts/analyze/,,,,,2,,HISTORICAL_AUDIT_REFERENCE
text,documentation_reference,docs/refactors/MODEL_LAYOUT_REFACTOR_REPORT.md,10,scripts/analyze/,,,,,1,,HISTORICAL_AUDIT_REFERENCE
text,documentation_reference,docs/refactors/SCRIPT_ANALYSIS_LAYOUT_REFACTOR_REPORT.md,"12,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,74,75,76,77,78,79,80,81,82,83,84,85,86,102,110,111,112,113,114",scripts/analyze/,,,,,39,,CURRENT_AUDIT_REFERENCE
text,documentation_reference,docs/refactors/SCRIPT_EXECUTION_LAYOUT_REFACTOR_REPORT.md,"12,211",scripts/analyze/,,,,,2,,HISTORICAL_AUDIT_REFERENCE
text,deferred_script,scripts/analyze/diagnose_iemocap_splits.py,9,scripts/analyze/,,,,,1,,DEFERRED_SELF_CLI_REFERENCE
text,compatibility_wrapper,scripts/workflows/run_pipeline.py,"69,70,71,72,73,75,76",scripts/analyze/,,,,,7,,COMPATIBILITY_SUBPROCESS_TARGET_RETAINED
text,test,tests/test_analysis_layout_compatibility.py,"21,28,35,42,49,56,63,70,77,84,91,98,105,121,285",scripts/analyze/,,,,,15,,DEDICATED_COMPATIBILITY_TEST
protected,group_meeting_protected,scripts/analyze/export_group_meeting_baseline_report.py,,,,,,,,,UNTRACKED_NOT_PARSED
protected,group_meeting_protected,tests/analyze/test_group_meeting_baseline_report.py,,,,,,,,,UNTRACKED_NOT_PARSED
