old_path,new_path,implementation,source_config,source_run_semantics,byte_identical,semantic_identical,changed_keys,change_allowed,status,notes
configs/pipeline/dialoguegcn/iemocap/causal_benchmark/official_prefix.yaml,configs/benchmarks/causal_unified/pipelines/dialoguegcn/legacy_mmgcn_features/val_official_prefix.yaml,unified,configs/baselines/dialoguegcn/iemocap/causal_benchmark/official_prefix.yaml,declared_source_config,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/dialoguegcn/iemocap/causal_benchmark/val_ses01.yaml,configs/benchmarks/causal_unified/pipelines/dialoguegcn/legacy_mmgcn_features/val_ses01.yaml,unified,configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses01.yaml,declared_source_config,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/dialoguegcn/iemocap/causal_benchmark/val_ses02.yaml,configs/benchmarks/causal_unified/pipelines/dialoguegcn/legacy_mmgcn_features/val_ses02.yaml,unified,configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses02.yaml,declared_source_config,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/dialoguegcn/iemocap/causal_benchmark/val_ses03.yaml,configs/benchmarks/causal_unified/pipelines/dialoguegcn/legacy_mmgcn_features/val_ses03.yaml,unified,configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses03.yaml,declared_source_config,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/dialoguegcn/iemocap/causal_benchmark/val_ses04.yaml,configs/benchmarks/causal_unified/pipelines/dialoguegcn/legacy_mmgcn_features/val_ses04.yaml,unified,configs/baselines/dialoguegcn/iemocap/causal_benchmark/val_ses04.yaml,declared_source_config,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/gsmcc/iemocap/causal_benchmark/official_prefix.yaml,configs/benchmarks/causal_unified/pipelines/gsmcc/legacy_mmgcn_features/val_official_prefix.yaml,project_variant,configs/baselines/gsmcc/iemocap/causal_benchmark/official_prefix.yaml,declared_source_config,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/gsmcc/iemocap/causal_benchmark/val_ses01.yaml,configs/benchmarks/causal_unified/pipelines/gsmcc/legacy_mmgcn_features/val_ses01.yaml,project_variant,configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses01.yaml,declared_source_config,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/gsmcc/iemocap/causal_benchmark/val_ses02.yaml,configs/benchmarks/causal_unified/pipelines/gsmcc/legacy_mmgcn_features/val_ses02.yaml,project_variant,configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses02.yaml,declared_source_config,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/gsmcc/iemocap/causal_benchmark/val_ses03.yaml,configs/benchmarks/causal_unified/pipelines/gsmcc/legacy_mmgcn_features/val_ses03.yaml,project_variant,configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses03.yaml,declared_source_config,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/gsmcc/iemocap/causal_benchmark/val_ses04.yaml,configs/benchmarks/causal_unified/pipelines/gsmcc/legacy_mmgcn_features/val_ses04.yaml,project_variant,configs/baselines/gsmcc/iemocap/causal_benchmark/val_ses04.yaml,declared_source_config,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/mmgcn/iemocap/causal_benchmark/official_prefix.yaml,configs/benchmarks/causal_unified/pipelines/mmgcn/legacy_mmgcn_features/val_official_prefix.yaml,unified,configs/baselines/mmgcn/iemocap/causal_benchmark/official_prefix.yaml,declared_source_config,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/mmgcn/iemocap/causal_benchmark/val_ses01.yaml,configs/benchmarks/causal_unified/pipelines/mmgcn/legacy_mmgcn_features/val_ses01.yaml,unified,configs/baselines/mmgcn/iemocap/causal_benchmark/val_ses01.yaml,declared_source_config,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/mmgcn/iemocap/causal_benchmark/val_ses02.yaml,configs/benchmarks/causal_unified/pipelines/mmgcn/legacy_mmgcn_features/val_ses02.yaml,unified,configs/baselines/mmgcn/iemocap/causal_benchmark/val_ses02.yaml,declared_source_config,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/mmgcn/iemocap/causal_benchmark/val_ses03.yaml,configs/benchmarks/causal_unified/pipelines/mmgcn/legacy_mmgcn_features/val_ses03.yaml,unified,configs/baselines/mmgcn/iemocap/causal_benchmark/val_ses03.yaml,declared_source_config,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/mmgcn/iemocap/causal_benchmark/val_ses04.yaml,configs/benchmarks/causal_unified/pipelines/mmgcn/legacy_mmgcn_features/val_ses04.yaml,unified,configs/baselines/mmgcn/iemocap/causal_benchmark/val_ses04.yaml,declared_source_config,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/mmgcn/iemocap/clean_roberta_v1/val_ses01.yaml,configs/benchmarks/causal_unified/pipelines/mmgcn/clean_roberta_features/val_ses01.yaml,unified,configs/baselines/mmgcn/iemocap/clean_roberta_v1/val_ses01.yaml|configs/pipeline/mmgcn/iemocap/causal_benchmark/val_ses01.yaml,declared_source_config,NO,NO,source_config,YES,PASS,Only repository-internal config paths changed to exact Batch 7 canonical targets.
configs/pipeline/mmgcn/iemocap/clean_roberta_v1/val_ses02.yaml,configs/benchmarks/causal_unified/pipelines/mmgcn/clean_roberta_features/val_ses02.yaml,unified,configs/baselines/mmgcn/iemocap/clean_roberta_v1/val_ses02.yaml|configs/pipeline/mmgcn/iemocap/causal_benchmark/val_ses02.yaml,declared_source_config,NO,NO,source_config,YES,PASS,Only repository-internal config paths changed to exact Batch 7 canonical targets.
configs/pipeline/mmgcn/iemocap/clean_roberta_v1/val_ses03.yaml,configs/benchmarks/causal_unified/pipelines/mmgcn/clean_roberta_features/val_ses03.yaml,unified,configs/baselines/mmgcn/iemocap/clean_roberta_v1/val_ses03.yaml|configs/pipeline/mmgcn/iemocap/causal_benchmark/val_ses03.yaml,declared_source_config,NO,NO,source_config,YES,PASS,Only repository-internal config paths changed to exact Batch 7 canonical targets.
configs/pipeline/mmgcn/iemocap/clean_roberta_v1/val_ses04.yaml,configs/benchmarks/causal_unified/pipelines/mmgcn/clean_roberta_features/val_ses04.yaml,unified,configs/baselines/mmgcn/iemocap/clean_roberta_v1/val_ses04.yaml|configs/pipeline/mmgcn/iemocap/causal_benchmark/val_ses04.yaml,declared_source_config,NO,NO,source_config,YES,PASS,Only repository-internal config paths changed to exact Batch 7 canonical targets.
configs/pipeline/mmgcn_pipeline.yaml,configs/benchmarks/ablations/missing_modality/pipelines/mmgcn/legacy_mmgcn_features/mmgcn_pipeline.yaml,unified,configs/analysis/multi_run_final_analysis.yaml|configs/analysis/multi_run_training_curves.yaml|configs/train_mmgcn_iemocap_official.yaml,declared_source_config,NO,NO,config_path,YES,PASS,Only repository-internal config paths changed to exact Batch 7 canonical targets.
configs/pipeline/mmgcn_pipeline_analyze.yaml,configs/benchmarks/paper/pipelines/mmgcn_pipeline_analyze.yaml,unified,configs/analysis/multi_run_final_analysis.yaml|configs/analysis/multi_run_training_curves.yaml|configs/train_mmgcn_iemocap_official.yaml,declared_source_config,NO,NO,config_path,YES,PASS,Only repository-internal config paths changed to exact Batch 7 canonical targets.
configs/pipeline/mmgcn_pipeline_m3ed.yaml,configs/benchmarks/ablations/missing_modality/pipelines/mmgcn/m3ed_features/mmgcn_pipeline_m3ed.yaml,unified,configs/analysis/multi_run_final_analysis.yaml|configs/analysis/multi_run_training_curves.yaml|configs/train_mmgcn_m3ed.yaml,declared_source_config,NO,NO,config_path,YES,PASS,Only repository-internal config paths changed to exact Batch 7 canonical targets.
configs/pipeline/multidag_cl/iemocap/causal_benchmark/official_prefix.yaml,configs/benchmarks/causal_unified/pipelines/multidag_cl/legacy_mmgcn_features/val_official_prefix.yaml,unified,configs/baselines/multidag_cl/iemocap/causal_benchmark/official_prefix.yaml,declared_source_config,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/causal_benchmark/val_ses01.yaml,configs/benchmarks/causal_unified/pipelines/multidag_cl/legacy_mmgcn_features/val_ses01.yaml,unified,configs/baselines/multidag_cl/iemocap/causal_benchmark/val_ses01.yaml,declared_source_config,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/causal_benchmark/val_ses02.yaml,configs/benchmarks/causal_unified/pipelines/multidag_cl/legacy_mmgcn_features/val_ses02.yaml,unified,configs/baselines/multidag_cl/iemocap/causal_benchmark/val_ses02.yaml,declared_source_config,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/causal_benchmark/val_ses03.yaml,configs/benchmarks/causal_unified/pipelines/multidag_cl/legacy_mmgcn_features/val_ses03.yaml,unified,configs/baselines/multidag_cl/iemocap/causal_benchmark/val_ses03.yaml,declared_source_config,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/causal_benchmark/val_ses04.yaml,configs/benchmarks/causal_unified/pipelines/multidag_cl/legacy_mmgcn_features/val_ses04.yaml,unified,configs/baselines/multidag_cl/iemocap/causal_benchmark/val_ses04.yaml,declared_source_config,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/clean_roberta_v1/val_ses01.yaml,configs/benchmarks/causal_unified/pipelines/multidag_cl/clean_roberta_features/val_ses01.yaml,unified,configs/baselines/multidag_cl/iemocap/clean_roberta_v1/val_ses01.yaml|configs/pipeline/multidag_cl/iemocap/causal_benchmark/val_ses01.yaml,declared_source_config,NO,NO,source_config,YES,PASS,Only repository-internal config paths changed to exact Batch 7 canonical targets.
configs/pipeline/multidag_cl/iemocap/clean_roberta_v1/val_ses02.yaml,configs/benchmarks/causal_unified/pipelines/multidag_cl/clean_roberta_features/val_ses02.yaml,unified,configs/baselines/multidag_cl/iemocap/clean_roberta_v1/val_ses02.yaml|configs/pipeline/multidag_cl/iemocap/causal_benchmark/val_ses02.yaml,declared_source_config,NO,NO,source_config,YES,PASS,Only repository-internal config paths changed to exact Batch 7 canonical targets.
configs/pipeline/multidag_cl/iemocap/clean_roberta_v1/val_ses03.yaml,configs/benchmarks/causal_unified/pipelines/multidag_cl/clean_roberta_features/val_ses03.yaml,unified,configs/baselines/multidag_cl/iemocap/clean_roberta_v1/val_ses03.yaml|configs/pipeline/multidag_cl/iemocap/causal_benchmark/val_ses03.yaml,declared_source_config,NO,NO,source_config,YES,PASS,Only repository-internal config paths changed to exact Batch 7 canonical targets.
configs/pipeline/multidag_cl/iemocap/clean_roberta_v1/val_ses04.yaml,configs/benchmarks/causal_unified/pipelines/multidag_cl/clean_roberta_features/val_ses04.yaml,unified,configs/baselines/multidag_cl/iemocap/clean_roberta_v1/val_ses04.yaml|configs/pipeline/multidag_cl/iemocap/causal_benchmark/val_ses04.yaml,declared_source_config,NO,NO,source_config,YES,PASS,Only repository-internal config paths changed to exact Batch 7 canonical targets.
configs/pipeline/multidag_cl/iemocap/debug/context_past_all_causal_tav_smoke.yaml,configs/benchmarks/causal_unified/pipelines/multidag_cl/legacy_mmgcn_features/context_past_all_causal_tav_smoke.yaml,unified,configs/baselines/multidag_cl/iemocap/debug/context_past_all_causal_tav_smoke.yaml,context,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/debug/context_w5_tav_quick.yaml,configs/benchmarks/causal_unified/pipelines/multidag_cl/legacy_mmgcn_features/context_w5_tav_quick.yaml,unified,configs/baselines/multidag_cl/iemocap/debug/context_w5_tav_quick.yaml,context,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/debug/context_w5_tav_smoke.yaml,configs/benchmarks/causal_unified/pipelines/multidag_cl/legacy_mmgcn_features/context_w5_tav_smoke.yaml,unified,configs/baselines/multidag_cl/iemocap/debug/context_w5_tav_smoke.yaml,context,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/formal/context_past_all_causal_tav.yaml,configs/benchmarks/ablations/context/pipelines/multidag_cl/context_past_all_causal_tav.yaml,unified,configs/baselines/multidag_cl/iemocap/formal/context_past_all_causal_tav.yaml,context,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/formal/context_w0_tav.yaml,configs/benchmarks/ablations/context/pipelines/multidag_cl/context_w0_tav.yaml,unified,configs/baselines/multidag_cl/iemocap/formal/context_w0_tav.yaml,context,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/formal/context_w1_tav.yaml,configs/benchmarks/ablations/context/pipelines/multidag_cl/context_w1_tav.yaml,unified,configs/baselines/multidag_cl/iemocap/formal/context_w1_tav.yaml,context,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/formal/context_w3_tav.yaml,configs/benchmarks/ablations/context/pipelines/multidag_cl/context_w3_tav.yaml,unified,configs/baselines/multidag_cl/iemocap/formal/context_w3_tav.yaml,context,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/formal/context_w5_tav.yaml,configs/benchmarks/ablations/context/pipelines/multidag_cl/context_w5_tav.yaml,unified,configs/baselines/multidag_cl/iemocap/formal/context_w5_tav.yaml,context,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/formal/modality_w5_a.yaml,configs/benchmarks/ablations/modality/pipelines/multidag_cl/modality_w5_a.yaml,unified,configs/baselines/multidag_cl/iemocap/formal/modality_w5_a.yaml,declared_source_config,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/formal/modality_w5_av.yaml,configs/benchmarks/ablations/modality/pipelines/multidag_cl/modality_w5_av.yaml,unified,configs/baselines/multidag_cl/iemocap/formal/modality_w5_av.yaml,declared_source_config,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/formal/modality_w5_t.yaml,configs/benchmarks/ablations/modality/pipelines/multidag_cl/modality_w5_t.yaml,unified,configs/baselines/multidag_cl/iemocap/formal/modality_w5_t.yaml,declared_source_config,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/formal/modality_w5_ta.yaml,configs/benchmarks/ablations/modality/pipelines/multidag_cl/modality_w5_ta.yaml,unified,configs/baselines/multidag_cl/iemocap/formal/modality_w5_ta.yaml,declared_source_config,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/formal/modality_w5_tav.yaml,configs/benchmarks/ablations/modality/pipelines/multidag_cl/modality_w5_tav.yaml,unified,configs/baselines/multidag_cl/iemocap/formal/modality_w5_tav.yaml,declared_source_config,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/formal/modality_w5_tv.yaml,configs/benchmarks/ablations/modality/pipelines/multidag_cl/modality_w5_tv.yaml,unified,configs/baselines/multidag_cl/iemocap/formal/modality_w5_tv.yaml,declared_source_config,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/formal/modality_w5_v.yaml,configs/benchmarks/ablations/modality/pipelines/multidag_cl/modality_w5_v.yaml,unified,configs/baselines/multidag_cl/iemocap/formal/modality_w5_v.yaml,declared_source_config,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr3e4_cosine.yaml,configs/benchmarks/ablations/stability/pipelines/multidag_cl/context_w5_tav_stable_lr3e4_cosine.yaml,unified,configs/baselines/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr3e4_cosine.yaml,stable_context,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr3e4_earlystop_valloss.yaml,configs/benchmarks/ablations/stability/pipelines/multidag_cl/context_w5_tav_stable_lr3e4_earlystop_valloss.yaml,unified,configs/baselines/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr3e4_earlystop_valloss.yaml,stable_context,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr3e4_label_smoothing005.yaml,configs/benchmarks/ablations/stability/pipelines/multidag_cl/context_w5_tav_stable_lr3e4_label_smoothing005.yaml,unified,configs/baselines/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr3e4_label_smoothing005.yaml,stable_context,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr3e4_plateau_valloss.yaml,configs/benchmarks/ablations/stability/pipelines/multidag_cl/context_w5_tav_stable_lr3e4_plateau_valloss.yaml,unified,configs/baselines/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr3e4_plateau_valloss.yaml,stable_context,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr5e4_plateau_valloss.yaml,configs/benchmarks/ablations/stability/pipelines/multidag_cl/context_w5_tav_stable_lr5e4_plateau_valloss.yaml,unified,configs/baselines/multidag_cl/iemocap/loss_stability/context_w5_tav_stable_lr5e4_plateau_valloss.yaml,stable_context,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/missing/missing_eval_from_context_w5_tav.yaml,configs/benchmarks/ablations/missing_modality/pipelines/multidag_cl/legacy_mmgcn_features/missing_eval_from_context_w5_tav.yaml,unified,configs/benchmarks/ablations/context/pipelines/multidag_cl/context_w5_tav.yaml,context,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/missing/missing_eval_from_stable_context_w5_tav.yaml,configs/benchmarks/ablations/missing_modality/pipelines/multidag_cl/legacy_mmgcn_features/missing_eval_from_stable_context_w5_tav.yaml,unified,configs/benchmarks/ablations/stability/pipelines/multidag_cl/context_w5_tav_stable_candidate.yaml,stable_context,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/stabilize/context_past_all_causal_tav_stable_candidate.yaml,configs/benchmarks/ablations/stability/pipelines/multidag_cl/context_past_all_causal_tav_stable_candidate.yaml,unified,configs/baselines/multidag_cl/iemocap/stabilize/context_past_all_causal_tav_stable_candidate.yaml,stable_context,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/stabilize/context_w0_tav_stable_candidate.yaml,configs/benchmarks/ablations/stability/pipelines/multidag_cl/context_w0_tav_stable_candidate.yaml,unified,configs/baselines/multidag_cl/iemocap/stabilize/context_w0_tav_stable_candidate.yaml,stable_context,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/stabilize/context_w3_tav_stable_candidate.yaml,configs/benchmarks/ablations/stability/pipelines/multidag_cl/context_w3_tav_stable_candidate.yaml,unified,configs/baselines/multidag_cl/iemocap/stabilize/context_w3_tav_stable_candidate.yaml,stable_context,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/stabilize/context_w5_tav_dropout01.yaml,configs/benchmarks/ablations/stability/pipelines/multidag_cl/context_w5_tav_dropout01.yaml,unified,configs/baselines/multidag_cl/iemocap/stabilize/context_w5_tav_dropout01.yaml,context,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/stabilize/context_w5_tav_dropout02.yaml,configs/benchmarks/ablations/stability/pipelines/multidag_cl/context_w5_tav_dropout02.yaml,unified,configs/baselines/multidag_cl/iemocap/stabilize/context_w5_tav_dropout02.yaml,context,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/stabilize/context_w5_tav_graph1.yaml,configs/benchmarks/ablations/stability/pipelines/multidag_cl/context_w5_tav_graph1.yaml,unified,configs/baselines/multidag_cl/iemocap/stabilize/context_w5_tav_graph1.yaml,context,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/stabilize/context_w5_tav_linear_encoder.yaml,configs/benchmarks/ablations/stability/pipelines/multidag_cl/context_w5_tav_linear_encoder.yaml,unified,configs/baselines/multidag_cl/iemocap/stabilize/context_w5_tav_linear_encoder.yaml,context,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/stabilize/context_w5_tav_lr3e4.yaml,configs/benchmarks/ablations/stability/pipelines/multidag_cl/context_w5_tav_lr3e4.yaml,unified,configs/baselines/multidag_cl/iemocap/stabilize/context_w5_tav_lr3e4.yaml,context,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/stabilize/context_w5_tav_lr5e4.yaml,configs/benchmarks/ablations/stability/pipelines/multidag_cl/context_w5_tav_lr5e4.yaml,unified,configs/baselines/multidag_cl/iemocap/stabilize/context_w5_tav_lr5e4.yaml,context,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
configs/pipeline/multidag_cl/iemocap/stabilize/context_w5_tav_stable_candidate.yaml,configs/benchmarks/ablations/stability/pipelines/multidag_cl/context_w5_tav_stable_candidate.yaml,unified,configs/baselines/multidag_cl/iemocap/stabilize/context_w5_tav_stable_candidate.yaml,stable_context,YES,YES,,YES,PASS,git mv preserved byte content and parsed YAML semantics.
