record_type,category,path,line,legacy_target,files,parsed_files,files_with_legacy_imports,legacy_import_edges,parse_errors,status
edge,test,tests/test_model_layout_compatibility.py,13,models.baselines.multidag_cl,,,,,,DEDICATED_COMPATIBILITY_TEST
edge,test,tests/test_model_layout_compatibility.py,14,models.baselines.original_repro,,,,,,DEDICATED_COMPATIBILITY_TEST
edge,test,tests/test_model_layout_compatibility.py,17,models.baselines.original_repro,,,,,,DEDICATED_COMPATIBILITY_TEST
edge,test,tests/test_model_layout_compatibility.py,18,models.baselines.original_repro,,,,,,DEDICATED_COMPATIBILITY_TEST
edge,test,tests/test_model_layout_compatibility.py,21,models.baselines.original_repro,,,,,,DEDICATED_COMPATIBILITY_TEST
edge,test,tests/test_model_layout_compatibility.py,24,models.baselines.original_repro.registry,,,,,,DEDICATED_COMPATIBILITY_TEST
edge,test,tests/test_multidag_causal_invariance.py,6,models.baselines.multidag_cl,,,,,,COMPATIBILITY_IMPORT_RETAINED
edge,test,tests/test_new_causal_baseline_checkpoint_reload.py,7,models.baselines.causal_baseline_registry,,,,,,COMPATIBILITY_IMPORT_RETAINED
edge,test,tests/test_new_causal_baseline_registry.py,5,models.baselines.causal_baseline_registry,,,,,,COMPATIBILITY_IMPORT_RETAINED
protected,group_meeting_protected,scripts/analyze/export_group_meeting_baseline_report.py,,,,,,,,UNTRACKED_NOT_PARSED
protected,group_meeting_protected,tests/analyze/test_group_meeting_baseline_report.py,,,,,,,,UNTRACKED_NOT_PARSED
